,DROPDOWNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tab,Brief,Ad Types,,,,Call to Action List,,,,,,,,,,,,,,,,,,UTM,,,,,,,
,Stages,Platform,Ad Types,Specifications,Google,Facebook/Instagram,Facebook Lead Gen,Facebook App Install,Lead Gen Form Thank You,LinkedIn,Yahoo,Yahoo (Countdown),Twitter,TikTok,TikTok (Lead Gen Form),SnapChat,Hotstar,Spotify,WeChat,Wagawin,Grab,Programmatic,,PROGRAM,PROGRAM UTM,COUNTRIES,CHANNEL,UTM SOURCES,ADS PLATFORMS,STAGES IN THE FUNNEL,KEYWORDS TYPE
,,Grab,Grab Image Ads,https://drive.google.com/file/d/19RZM7Yc6fxAvUPqXY_bFAQBat947pVo5/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Grab Video Ads,https://drive.google.com/file/d/19RZM7Yc6fxAvUPqXY_bFAQBat947pVo5/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Grab Search & Listing Ads,https://drive.google.com/file/d/19RZM7Yc6fxAvUPqXY_bFAQBat947pVo5/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apple,Apple Search Ads (Basic),https://appradar.com/academy/apple-search-ads/custom-product-pages-assets-requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Apple Search Ads (Advanced),https://appradar.com/academy/apple-search-ads/custom-product-pages-assets-requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,StackAdapt,StackAdapt Image Ads,https://support.sharethrough.com/hc/en-us/articles/360012183792-StackAdapt-Creative-Specs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,StackAdapt Video Ads,https://support.sharethrough.com/hc/en-us/articles/360012183792-StackAdapt-Creative-Specs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,StackAdapt HTML5 Ads,https://support.sharethrough.com/hc/en-us/articles/360012183792-StackAdapt-Creative-Specs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,StackAdapt Native Ads,https://support.sharethrough.com/hc/en-us/articles/360012183792-StackAdapt-Creative-Specs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taboola,Taboola Image Ads,https://help.taboola.com/hc/en-us/articles/115006880507-Video-Title-and-Thumbnail-Best-Practices,,,,,,,,,,,,,,,,,,,,,,,,,,,
